Date,Patch,Blue,Red,Winner,Loser,Blue_Bans,Red_Bans,Blue_Picks,Red_Picks,Blue_Roster,Red_Roster,Length,Blue_Gold,Blue_Kills,Blue_Towers,Blue_Dragons,Blue_Barons,Blue_RiftHerald,Red_Gold,Red_Kills,Red_Towers,Red_Dragons,Red_Barons,Red_RiftHerald,Diff_Gold,Diff_Kills,Diff_Towers,Diff_Dragons,Diff_Barons,Diff_RiftHerald,Tournament,Match of the Season
2013-04-18,,Team Vulcun,Good Game University,blue,,"Caitlyn, Jayce, Thresh","Malphite, Twisted Fate, Nasus","Renekton, Jarvan IV, Diana, Twitch, Sona","Kha'Zix, Elise, Karthus, Tristana, Lulu","Sycho Sid,Xmithie,mandatorycloud,Zuna,BloodWater","ZionSpartan,NintendudeX,Jintae,DontMashMe,Daydreamin",35:28,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2013-Spring,102
2013-04-18,,Team MRN,Team Curse,red,,"Kha'Zix, Ryze, Karthus","Vayne, Renekton, Twisted Fate","Malphite, Shen, Ahri, Draven, Sona","Riven, Volibear, Orianna, Ashe, Thresh","MegaZero,ClakeyD,ecco,Nientonsoh,Heartbeat","Voyboy,Saintvicious,NyJacky,Cop,Elementz",37:50,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2013-Spring,101
2013-04-18,,compLexity Gaming,Team SoloMid,red,,"Malphite, Renekton, Shen","Gragas, Zed, Thresh","Jayce, Jarvan IV, Diana, Caitlyn, Elise","Kha'Zix, Nasus, Karthus, Draven, Sona","Nickwu,Lautemortis,PR0LLY,brunch †,MeyeA","Dyrus,TheOddOne,Reginald,WildTurtle,Xpecial",26:57,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2013-Spring,100
2013-04-18,,Team Vulcun,Team MRN,blue,,"Riven, Malphite, Twisted Fate","Kha'Zix, Karthus, Diana","Renekton, Jarvan IV, Ryze, Tristana, Sona","Shen, Evelynn, Lux, Twitch, Thresh","Sycho Sid,Xmithie,mandatorycloud,Zuna,BloodWater","MegaZero,ClakeyD,ecco,Nientonsoh,Heartbeat",40:51,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2013-Spring,99
2013-04-18,,Counter Logic Gaming,Team Dignitas,blue,,"Gragas, Diana, Draven","Vayne, Twitch, Caitlyn","Shen, Amumu, Twisted Fate, Ezreal, Thresh","Singed, Nasus, Karthus, Corki, Zyra","HotshotGG,Chauster,Link,Doublelift,Aphromoo","KiWiKiD,Crumbzz,scarra,Imaqtpie,Patoy",33:01,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2013-Spring,98
2013-04-18,,Team Curse,Good Game University,red,,"Jayce, Karthus, Thresh","Miss Fortune, Renekton, Twisted Fate","Kha'Zix, Nasus, Morgana, Twitch, Lulu","Riven, Elise, Orianna, Caitlyn, Janna","Voyboy,Saintvicious,NyJacky,Cop,Elementz","ZionSpartan,NintendudeX,Jintae,DontMashMe,Daydreamin",55:02,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2013-Spring,97
2013-04-17,,Counter Logic Gaming,Team SoloMid,red,,"Draven, Nocturne, Vladimir","Vayne, Shen, Malphite","Cho'Gath, Jarvan IV, Nidalee, Twitch, Lulu","Jayce, Nasus, Karthus, Caitlyn, Sona","HotshotGG,Chauster,Link,Doublelift,Aphromoo","Dyrus,TheOddOne,Reginald,WildTurtle,Xpecial",38:12,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2013-Spring,96
2013-04-17,,compLexity Gaming,Good Game University,blue,,"Twitch, Elise, Thresh","Amumu, Zed, Shen","Kha'Zix, Jarvan IV, Gragas, Caitlyn, Sona","Riven, Nasus, Twisted Fate, Urgot, Kayle","Nickwu,Lautemortis,PR0LLY,brunch †,MeyeA","ZionSpartan,NintendudeX,Jintae,DontMashMe,Daydreamin",36:47,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2013-Spring,95
2013-04-17,,Team MRN,Team SoloMid,red,,"Thresh, Shen, Karthus","Riven, Evelynn, Twisted Fate","Malphite, Jarvan IV, Katarina, Miss Fortune, Lulu","Renekton, Nasus, Diana, Twitch, Sona","MegaZero,ClakeyD,ecco,Nientonsoh,Heartbeat","Dyrus,TheOddOne,Reginald,WildTurtle,Xpecial",44:46,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2013-Spring,94
2013-04-17,,compLexity Gaming,Team Dignitas,blue,,"Diana, Caitlyn, Renekton","Zed, Kayle, Kha'Zix","Jayce, Jarvan IV, Gragas, Miss Fortune, Thresh","Shen, Nasus, Twisted Fate, Draven, Sona","Nickwu,Lautemortis,PR0LLY,brunch †,MeyeA","KiWiKiD,Crumbzz,scarra,Imaqtpie,Patoy",39:02,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2013-Spring,93
2013-04-13,,Team Curse,Team SoloMid,red,,"Shen, Karthus, Lulu","Volibear, Jarvan IV, Brand","Akali, Nautilus, Kha'Zix, Varus, Thresh","Renekton, Nasus, Diana, Miss Fortune, Sona","Voyboy,Saintvicious,NyJacky,Cop,Elementz","Dyrus,TheOddOne,Reginald,WildTurtle,Xpecial",24:29,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2013-Spring,92
2013-04-13,,Good Game University,compLexity Gaming,blue,,"Amumu, Zed, Shen","Kha'Zix, Thresh, Nasus","Jayce, Elise, Karthus, Caitlyn, LeBlanc","Viktor, Malphite, Kennen, Twitch, Sona","ZionSpartan,NintendudeX,Jintae,DontMashMe,Daydreamin","Nickwu,Lautemortis,PR0LLY,brunch †,MeyeA",31:06,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2013-Spring,91
2013-04-13,,Counter Logic Gaming,Team MRN,red,,"Renekton, Malphite, Twisted Fate","Cho'Gath, Nidalee, Shen","Nasus, Maokai, Lux, Twitch, Thresh","Riven, Jarvan IV, Ahri, Vayne, Sona","HotshotGG,Chauster,Link,Doublelift,Aphromoo","MegaZero,ClakeyD,ecco,Nientonsoh,Heartbeat",35:19,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2013-Spring,90
2013-04-13,,Good Game University,Team Dignitas,blue,,"Diana, Gragas, Shen","Twisted Fate, Jayce, Kha'Zix","Vladimir, Nasus, Karthus, Caitlyn, Thresh","Fizz, Hecarim, Zed, Varus, Janna","ZionSpartan,NintendudeX,Jintae,DontMashMe,Daydreamin","KiWiKiD,DJ LAMBO,scarra,Imaqtpie,Patoy",39:18,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2013-Spring,89
2013-04-11,,Good Game University,Team MRN,blue,,"Malphite, Jarvan IV, Shen","Jayce, Ryze, Twisted Fate","Kha'Zix, Nasus, Lux, Twitch, Thresh","Riven, Nocturne, Karthus, Caitlyn, Lulu","ZionSpartan,NintendudeX,Jintae,DontMashMe,Daydreamin","MegaZero,ClakeyD,ecco,Nientonsoh,Heartbeat",29:15,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2013-Spring,88
2013-04-11,,compLexity Gaming,Team Curse,red,,"Ryze, Miss Fortune, Jarvan IV","Shen, Zed, Twisted Fate","Jayce, Alistar, Janna, Varus, Kayle","Kha'Zix, Volibear, Morgana, Twitch, Thresh","Nickwu,Lautemortis,PR0LLY,brunch †,MeyeA","Voyboy,Saintvicious,NyJacky,Cop,Elementz",46:34,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2013-Spring,87
2013-04-11,,Team Dignitas,Counter Logic Gaming,red,,"Udyr, Lux, Twisted Fate","Gragas, Diana, Shen","Kayle, Elise, Zed, Caitlyn, Thresh","Cho'Gath, Jarvan IV, Nidalee, Vayne, Sona","KiWiKiD,DJ LAMBO,scarra,Imaqtpie,Patoy","HotshotGG,Chauster,Link,Doublelift,Aphromoo",25:56,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2013-Spring,86
2013-04-11,,Team Curse,Team MRN,blue,,"Shen, Vayne, Twisted Fate","Kayle, Thresh, Diana","Renekton, Volibear, Karthus, Miss Fortune, Sona","Malphite, Jarvan IV, Lux, Caitlyn, Lulu","Voyboy,Saintvicious,NyJacky,Cop,Elementz","MegaZero,ClakeyD,ecco,Nientonsoh,Heartbeat",29:29,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2013-Spring,85
2013-04-06,,Team Curse,Team Vulcun,blue,,"Diana, Nidalee, Shen","Renekton, Twisted Fate, Sona","Katarina, Volibear, Kha'Zix, Miss Fortune, Thresh","Rumble, Nasus, Zed, Varus, Lulu","Voyboy,Saintvicious,NyJacky,Cop,Elementz","Sycho Sid,Xmithie,mandatorycloud,Zuna,BloodWater",32:27,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2013-Spring,84
2013-04-06,,Team MRN,Good Game University,red,,"Elise, Jayce, Ryze","Malphite, Shen, Twisted Fate","Renekton, Nasus, Diana, Miss Fortune, Lulu","Rumble, Nocturne, Karthus, Caitlyn, Thresh","MegaZero,ClakeyD,ecco,Nientonsoh,Heartbeat","ZionSpartan,NintendudeX,Jintae,DontMashMe,Daydreamin",32:53,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2013-Spring,83
2013-04-05,,Team Vulcun,compLexity Gaming,red,,"Amumu, Kha'Zix, Zed","Nasus, Diana, Jarvan IV","Vladimir, Hecarim, Karthus, Miss Fortune, Sona","Darius, Shen, Annie, Varus, Kayle","Sycho Sid,Xmithie,mandatorycloud,Zuna,BloodWater","Nickwu,Lautemortis,PR0LLY,brunch †,MeyeA",36:02,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2013-Spring,82
2013-04-05,,Team SoloMid,Team Curse,blue,,"Miss Fortune, Jarvan IV, Volibear","Diana, Twisted Fate, Nasus","Shen, Nocturne, Karthus, Draven, Thresh","Renekton, Udyr, Ryze, Kog'Maw, Sona","Dyrus,TheOddOne,Reginald,WildTurtle,Xpecial","Voyboy,Saintvicious,NyJacky,Cop,Elementz",31:48,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2013-Spring,81
2013-04-04,,Team MRN,compLexity Gaming,blue,,"Zed, Amumu, Zyra","Renekton, Twisted Fate, Shen","Malphite, Evelynn, Kha'Zix, Vayne, Lulu","Rumble, Cho'Gath, Jarvan IV, Caitlyn, Thresh","MegaZero,ClakeyD,ecco,Nientonsoh,Heartbeat","Nickwu,Lautemortis,PR0LLY,brunch †,MeyeA",55:02,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2013-Spring,80
2013-04-04,,Team SoloMid,Team Vulcun,red,,"Nidalee, Diana, Lulu","Draven, Malphite, Caitlyn","Shen, Xin Zhao, Xerath, Varus, Thresh","Vladimir, Nasus, Karthus, Tristana, Sona","Dyrus,TheOddOne,Reginald,WildTurtle,Xpecial","Sycho Sid,Xmithie,mandatorycloud,Zuna,BloodWater",31:30,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2013-Spring,79
2013-04-04,,Good Game University,Team Curse,red,,"Jarvan IV, Renekton, Twisted Fate","Jayce, Akali, Kayle","Kha'Zix, Nasus, Ryze, Caitlyn, Elise","Irelia, Volibear, Veigar, Miss Fortune, Thresh","ZionSpartan,NintendudeX,Jintae,DontMashMe,Daydreamin","Voyboy,Saintvicious,NyJacky,Cop,Elementz",44:32,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2013-Spring,78
2013-04-04,,compLexity Gaming,Counter Logic Gaming,blue,,"Vayne, Malphite, Lulu","Rumble, Zed, Caitlyn","Kha'Zix, Shen, Ziggs, Varus, Zyra","Udyr, Jarvan IV, Lux, Twitch, Thresh","Nickwu,Lautemortis,PR0LLY,brunch †,MeyeA","HotshotGG,Chauster,Link,Doublelift,Aphromoo",41:34,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2013-Spring,77
2013-04-01,,Team Vulcun,Team Curse,red,,"Gragas, Janna, Twisted Fate","Nidalee, Diana, Rumble","Kennen, Jarvan IV, Quinn, Miss Fortune, Sona","Renekton, Nasus, Ryze, Kog'Maw, Lulu","Sycho Sid,Xmithie,mandatorycloud,Zuna,Muffinqt","Voyboy,Saintvicious,NyJacky,Cop,Elementz",31:52,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2013-Spring,76
2013-03-31,,Good Game University,Team SoloMid,red,,"Malphite, Shen, Thresh","Akali, Elise, Jayce","Kha'Zix, Trundle, Twisted Fate, Kog'Maw, Sona","Renekton, Nasus, Zed, Caitlyn, Lulu","ZionSpartan,NintendudeX,Jintae,DontMashMe,BloodWater","Dyrus,TheOddOne,Reginald,WildTurtle,Xpecial",34:59,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2013-Spring,75
2013-03-31,,Counter Logic Gaming,compLexity Gaming,blue,,"Rumble, Shen, Caitlyn","Vayne, Evelynn, Twisted Fate","Malphite, Jarvan IV, Lux, Twitch, Lulu","Zed, Amumu, Kayle, Ezreal, Elise","HotshotGG,Chauster,Link,Doublelift,Aphromoo","Nickwu,Lautemortis,Chuuper,brunch †,MeyeA",41:20,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2013-Spring,74
2013-03-31,,Team MRN,Team Dignitas,red,,"Diana, Gragas, Kayle","Twisted Fate, Irelia, Renekton","Rumble, Trundle, Jayce, Caitlyn, Janna","Shen, Nasus, Zed, Varus, Elise","MegaZero,ClakeyD,ecco,Nientonsoh,Heartbeat","KiWiKiD,Crumbzz,scarra,Imaqtpie,Patoy",31:32,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2013-Spring,73
2013-03-31,,compLexity Gaming,Good Game University,red,,"Orianna, Nasus, Akali","Amumu, Zed, Thresh","Rumble, Shen, Kha'Zix, Caitlyn, Sona","Jayce, Elise, Twisted Fate, Tristana, Lulu","Nickwu,Lautemortis,Chuuper,brunch †,MeyeA","ZionSpartan,NintendudeX,Jintae,DontMashMe,BloodWater",45:28,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2013-Spring,72
2013-03-31,,Team MRN,Team Vulcun,blue,,"Nidalee, Diana, Elise","Akali, Renekton, Twisted Fate","Rumble, Nasus, Lux, Varus, Janna","Singed, Volibear, Kha'Zix, Caitlyn, Lulu","MegaZero,ClakeyD,ecco,Nientonsoh,Heartbeat","Sycho Sid,Xmithie,mandatorycloud,Zuna,Muffinqt",28:50,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2013-Spring,71
2013-03-31,,Counter Logic Gaming,Team Curse,blue,,"Gragas, Volibear, Twisted Fate","Vayne, Xerath, Urgot","Cho'Gath, Jarvan IV, Lux, Twitch, Lulu","Elise, Xin Zhao, Orianna, Varus, Sona","HotshotGG,Chauster,Link,Doublelift,Aphromoo","Voyboy,Saintvicious,NyJacky,Cop,Elementz",30:18,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2013-Spring,70
2013-03-30,,Team SoloMid,Team Dignitas,red,,"Elise, Kayle, Lulu","Draven, Caitlyn, Shen","Rumble, Volibear, Diana, Varus, Sona","Renekton, Nasus, Gragas, Ezreal, Thresh","Dyrus,TheOddOne,Reginald,WildTurtle,Xpecial","KiWiKiD,Crumbzz,scarra,Imaqtpie,Patoy",40:00,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2013-Spring,69
2013-03-30,,compLexity Gaming,Team MRN,blue,,"Irelia, Renekton, Twisted Fate","Kayle, Kha'Zix, Zed","Rumble, Amumu, Diana, Caitlyn, Sona","Udyr, Nasus, Anivia, Varus, Thresh","Nickwu,Lautemortis,Chuuper,brunch †,MeyeA","MegaZero,ClakeyD,ecco,Nientonsoh,Heartbeat",40:48,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2013-Spring,68
2013-03-30,,Good Game University,Team Vulcun,blue,,"Akali, Twitch, Orianna","Nidalee, Kayle, Twisted Fate","Jayce, Nasus, Ryze, Caitlyn, Lulu","Elise, Volibear, Diana, Kog'Maw, Thresh","ZionSpartan,NintendudeX,Jintae,DontMashMe,BloodWater","Sycho Sid,Xmithie,mandatorycloud,Zuna,Muffinqt",37:57,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2013-Spring,67
2013-03-30,,Team Curse,Team Dignitas,blue,,"Rumble, Diana, Elise","Miss Fortune, Ryze, Lux","Gragas, Volibear, Karthus, Varus, Sona","Renekton, Nasus, Kayle, Caitlyn, Lulu","Voyboy,Saintvicious,NyJacky,Cop,Elementz","KiWiKiD,Crumbzz,scarra,Imaqtpie,Patoy",32:50,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2013-Spring,66
2013-03-30,,Team SoloMid,Counter Logic Gaming,blue,,"Vayne, Evelynn, Taric","Rumble, Thresh, Malphite","Shen, Xin Zhao, Diana, Draven, Lulu","Nasus, Nunu, Lux, Caitlyn, Janna","Dyrus,TheOddOne,Reginald,WildTurtle,Xpecial","HotshotGG,Chauster,Link,Doublelift,Aphromoo",34:45,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2013-Spring,65
2013-03-23,,Team Dignitas,compLexity Gaming,blue,,"Kha'Zix, Zed, Caitlyn","Diana, Kayle, Elise","Rumble, Volibear, Gragas, Draven, Alistar","Darius, Amumu, Ryze, Varus, Thresh","KiWiKiD,Crumbzz,scarra,Imaqtpie,Patoy","Nickwu,Lautemortis,Chuuper,brunch †,MeyeA",nan,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2013-Spring,64
2013-03-23,,Team Vulcun,Counter Logic Gaming,blue,,"Vayne, Twisted Fate, Renekton","Kha'Zix, Zed, Singed","Rumble, Nasus, Nidalee, Tristana, Thresh","Karthus, Jarvan IV, Katarina, Ezreal, Sona","Sycho Sid,Xmithie,mandatorycloud,Zuna,Muffinqt","HotshotGG,Chauster,Link,Doublelift,Aphromoo",nan,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2013-Spring,63
2013-03-23,,Team MRN,compLexity Gaming,blue,,"Zed, Kha'Zix, Kayle","Renekton, Irelia, Jarvan IV","Udyr, Shen, Twisted Fate, Draven, Lulu","Elise, Volibear, Jayce, Caitlyn, Thresh","MegaZero,ClakeyD,ecco,Nientonsoh,Heartbeat","Nickwu,Lautemortis,Chuuper,brunch †,MeyeA",nan,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2013-Spring,62
2013-03-23,,Counter Logic Gaming,Team SoloMid,red,,"Renekton, Shen, Singed","Malphite, Taric, Vayne","Karthus, Jarvan IV, Orianna, Ezreal, Leona","Rumble, Xin Zhao, Zed, Draven, Thresh","HotshotGG,Chauster,Link,Doublelift,Aphromoo","Dyrus,TheOddOne,Reginald,WildTurtle,Xpecial",nan,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2013-Spring,61
2013-03-21,,Team SoloMid,Team MRN,blue,,"Akali, Jarvan IV, Renekton","Shen, Kayle, Thresh","Malphite, Nasus, Twisted Fate, Draven, Lulu","Elise, Nocturne, Karthus, Caitlyn, Sona","Dyrus,TheOddOne,Reginald,WildTurtle,Xpecial","MegaZero,ClakeyD,ecco,Nientonsoh,Heartbeat",nan,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2013-Spring,60
2013-03-21,,Counter Logic Gaming,Team Dignitas,red,,"Singed, Gragas, Kayle","Twisted Fate, Vayne, Renekton","Malphite, Nasus, Orianna, Ezreal, Lulu","Rumble, Volibear, Diana, Caitlyn, Elise","HotshotGG,Chauster,Link,Doublelift,Aphromoo","KiWiKiD,Crumbzz,scarra,Imaqtpie,Patoy",nan,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2013-Spring,59
2013-03-21,,Team SoloMid,compLexity Gaming,blue,,"Elise, Thresh, Kayle","Renekton, Rumble, Draven","Shen, Xin Zhao, Twisted Fate, Caitlyn, Sona","Zed, Amumu, Diana, Kog'Maw, Lulu","Dyrus,TheOddOne,Reginald,WildTurtle,Xpecial","Nickwu,Lautemortis,Chuuper,brunch †,MeyeA",nan,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2013-Spring,58
2013-03-21,,Team Dignitas,Team MRN,blue,,"Renekton, Irelia, Shen","Thresh, Kayle, Draven","Elise, Nasus, Diana, Caitlyn, Janna","Rumble, Jarvan IV, Karthus, Vayne, Sona","KiWiKiD,Crumbzz,scarra,Imaqtpie,Patoy","MegaZero,ClakeyD,ecco,Nientonsoh,Heartbeat",nan,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2013-Spring,57
2013-03-17,,Team MRN,Team Curse,red,,"Volibear, Kayle, Malphite","Renekton, Diana, Twisted Fate","Cho'Gath, Trundle, Caitlyn, Corki, Janna","Elise, Jarvan IV, Orianna, Miss Fortune, Thresh","MegaZero,ClakeyD,Nientonsoh,Heartbeat,AtomicN","Voyboy,Saintvicious,NyJacky,Cop,Elementz",28:36,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2013-Spring,56
2013-03-17,,Counter Logic Gaming,Good Game University,red,,"Trundle, Elise, Twisted Fate","Nidalee, Vayne, Malphite","Shen, Jarvan IV, Kha'Zix, Caitlyn, Lulu","Singed, Vi, Ryze, Twitch, Nami","HotshotGG,Chauster,Link,Doublelift,Aphromoo","ZionSpartan,NintendudeX,Jintae,DontMashMe,BloodWater",37:23,,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,,,,,,,NA-LCS-2013-Spring,55
